Eccentricity,Luminosity(1),Luminosity(2),Mass(1),Mass(2),Pulsar_Mag_Field(1),Pulsar_Mag_Field(2),Pulsar_Spin_Freq(1),Pulsar_Spin_Freq(2),Radius(1),Radius(2),SemiMajorAxis,Teff(1),Teff(2),Age,Type(1),Type(2)
0.0,0.0034199328373456968,0.0014765949944069018,0.13294225631379936,0.10186936922460747,0.0,0.0,0.0,0.0,0.15393472838194674,0.11611388801014119,167951.36696445814,3561.341552664379,3323.921830054191,13348.225255801468,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,1.4826160978795027e-06,0.013547106721234742,0.9347297182965699,0.2529914822795761,0.0,0.0,0.0,0.0,0.008789728674412967,0.257744419775247,15100.526387795346,2150.537305520365,3882.7956981899233,10980.253505360375,C-O White Dwarf,"Main Sequence, M<0.7 Msun"
0.0,0.014050953083590249,0.007349584333373725,0.2585794317725336,0.182389328373734,0.0,0.0,0.0,0.0,0.26170785945951525,0.2023450638589444,33612.98701003316,3888.6208528962634,3760.944500883623,10522.185711789074,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.007845777851623789,0.005814617738120044,0.1880104296288272,0.16381878857911075,0.0,0.0,0.0,0.0,0.2073440285235654,0.18556925357072462,197.05771225300143,3776.511166519924,3703.8621884327736,13337.41624172868,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.040973554608879297,0.03215286798380523,0.42661496351036143,0.3926626997076992,0.0,0.0,0.0,0.0,0.3834074170770831,0.35687885389944557,11.753696707268503,4198.297332522888,4095.642670834002,10463.298823599165,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
39.92765635872546,1.8654214564128627e-10,1.2180148326059407e-06,1.26,0.7176864578508619,9999.770833583529,0.0,,0.0,1.4374011786689665e-05,0.01128055830188277,-281.2002187686658,5632.2611199411685,1807.2797585357093,11244.678396201361,Neutron Star,C-O White Dwarf
0.0,0.17961282165996115,0.03632287330390696,0.5984851291032138,0.4095948277938592,0.0,0.0,0.0,0.0,0.5555474461680436,0.3702101989567087,5.834294535451888,5046.628008150034,4145.705015615107,11160.896310615604,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.7350103953721878,0.1823624481504505,0.7447892681244981,0.6005096201707062,0.0,0.0,0.0,0.0,0.8124896800090244,0.5575649422845832,6.345127459490637,5935.290513781364,5056.65892815205,11011.296602371935,"Main Sequence, M>0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,1.6292489319565036e-06,1.439567663003687,0.6323480957801392,0.7998925029992435,0.0,0.0,0.0,0.0,0.012349307459419225,1.039840492562715,64758.03998342628,1857.6038268154073,6206.5776826768415,11032.324490748686,C-O White Dwarf,"Main Sequence, M>0.7 Msun"
0.0,0.02179625912233192,0.01638349858485478,0.33120773753706934,0.28299777910431606,0.0,0.0,0.0,0.0,0.3124643440757004,0.2789406925950122,60193.359174456426,3971.666693859836,3914.0219966812997,10464.151938130903,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,2.889504484903158e-06,9.728111425752074,0.6322578864383831,0.5651901338040188,0.0,0.0,0.0,0.0,0.012350483175053375,0.01325924899785379,34025.69890251444,2143.5884411745906,88618.66604327477,8517.762135398003,C-O White Dwarf,C-O White Dwarf
0.0,0.2933381610453964,0.001688063296513385,0.6518754010307999,0.10588918675496072,0.0,0.0,0.0,0.0,0.6236981208969113,0.121379548162764,2958.28268494332,5384.339812696526,3361.6458696228037,10856.935463928718,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.017725941816766254,0.009033563941066986,0.29608658582805336,0.2020689087359288,0.0,0.0,0.0,0.0,0.2880800421692252,0.21893106582961921,3995.967266536314,3928.016300931096,3807.050367180317,10615.255381720632,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.009550560663805224,0.0066850878755241845,0.20800750848026825,0.17446191517319096,0.0,0.0,0.0,0.0,0.22373856329142114,0.19532147558149046,7444.169554787609,3818.689366649511,3738.3444902981973,10889.705289516234,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.014000964575929371,0.0024519661950850318,0.2580269741664593,0.11876221293533352,0.0,0.0,0.0,0.0,0.2613177934594446,0.137488379576542,3.1504862816936727,3888.056215118418,3467.5534197719835,10568.135918344504,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,9.010126154286663e-05,1110.5554129350792,0.17986339480906252,1.8622550079492552,0.0,0.0,0.0,0.0,0.022276041935108324,52.37075299411287,90.03603563511133,3771.7356096944486,4609.121819006802,5578.926293741676,Helium White Dwarf,Early Asymptotic Giant Branch
0.0,0.00312508726722515,0.0021835685116563404,0.12876215965666374,0.1144187655671632,0.0,0.0,0.0,0.0,0.14925065346661456,0.13223200239374072,39148.93119244301,3536.184809599152,3434.7960593411426,14228.764826088325,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.11989834318576091,0.08277323110624382,0.5549533746016091,0.5129539297359255,0.0,0.0,0.0,0.0,0.5047086566030514,0.46121030995465406,23237.875103595088,4785.8651354087415,4563.525810103666,10748.825637082777,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.004893853011976627,0.0041984820334299705,0.15250956062071097,0.14353850769262103,0.0,0.0,0.0,0.0,0.1744678324576466,0.1652938068874951,3.5942688635790634,3658.748732640447,3617.614795907351,10143.01258966525,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.012272276450115494,0.009585340503328621,0.2386317685363061,0.2082327562606264,0.0,0.0,0.0,0.0,0.2473850107671618,0.2240178378271324,63506.74659432128,3866.5366313836894,3819.7780009169965,12384.114486137558,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.0038156984281677484,0.0029937436375251287,0.13838499477424943,0.1269004468723016,0.0,0.0,0.0,0.0,0.1598688443859732,0.14708995718126097,52.901472206296674,3591.6096557832802,3524.030663632525,12319.070292670207,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.18294797860116785,0.013577610091877813,0.6008812269441355,0.25331935752631896,0.0,0.0,0.0,0.0,0.5579879385257321,0.25798356949767015,163347.2389182627,5058.7944762346015,3883.1784336843752,11001.867226007958,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.06376678121224492,0.01415101575119255,0.4821411306343545,0.2595774789795432,0.0,0.0,0.0,0.0,0.43176553245733307,0.26246064379315426,3.910636229486999,4418.777931763863,3889.935016067865,10842.833310360902,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
0.0,0.05884409690594164,0.004092985482732374,0.4726753469566122,0.1421336932389809,0.0,0.0,0.0,0.0,0.42287847617165963,0.16382783840407714,3.118991479158102,4376.182978718791,3610.7193887351127,10593.264464351652,"Main Sequence, M<0.7 Msun","Main Sequence, M<0.7 Msun"
